-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 11/01/2024 through 04/30/2025 in LST
Location: latitude  30.2019   longitude 71.4532 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2024,306,37.27,28.56,20.76,0.0,15.99
2024,307,36.88,26.57,18.54,0.0,15.89
2024,308,35.75,26.15,19.33,0.0,13.63
2024,309,34.55,26.31,18.88,0.0,12.39
2024,310,36.41,26.93,19.37,0.0,11.71
2024,311,35.95,26.91,19.05,0.0,9.73
2024,312,35.54,26.21,19.43,0.0,10.76
2024,313,34.84,25.28,18.59,0.0,9.99
2024,314,33.79,25.61,18.7,0.0,10.65
2024,315,33.67,25.69,18.52,0.0,8.18
2024,316,32.63,24.29,17.76,0.0,4.16
2024,317,31.47,22.92,16.45,0.0,6.0
2024,318,30.87,23.03,17.03,0.0,8.03
2024,319,31.92,23.72,17.13,0.0,5.25
2024,320,31.07,23.64,18.22,0.26,5.59
2024,321,28.42,21.07,16.31,0.0,7.94
2024,322,28.87,21.24,14.57,0.0,11.76
2024,323,29.74,22.35,16.15,0.0,14.09
2024,324,29.78,21.24,14.69,0.0,13.63
2024,325,29.98,20.99,13.98,0.0,13.15
2024,326,30.39,21.88,14.35,0.0,12.77
2024,327,29.99,21.99,14.99,0.0,12.81
2024,328,28.67,20.28,15.13,0.0,11.94
2024,329,27.08,19.42,14.18,0.0,11.54
2024,330,27.65,19.86,13.83,0.0,12.05
2024,331,27.81,19.39,13.21,0.0,12.57
2024,332,29.72,20.43,13.87,0.0,12.57
2024,333,29.55,20.72,13.41,0.0,11.48
2024,334,29.21,21.29,14.87,0.0,8.61
2024,335,26.16,19.88,15.5,1.72,11.24
2024,336,27.0,20.43,14.6,2.57,9.92
2024,337,26.26,19.78,14.21,1.19,9.16
2024,338,25.81,19.03,14.48,0.09,10.81
2024,339,26.66,19.24,13.18,0.0,13.37
2024,340,25.96,18.09,11.2,0.0,13.47
2024,341,25.2,16.75,9.41,0.0,13.72
2024,342,24.67,16.23,8.0,0.0,13.82
2024,343,21.72,13.48,6.71,0.03,10.97
2024,344,21.55,12.36,5.32,0.03,13.75
2024,345,22.08,12.66,5.68,0.0,12.39
2024,346,22.01,14.19,7.24,0.0,12.57
2024,347,21.4,13.33,6.28,0.0,12.65
2024,348,22.78,14.14,5.95,0.0,12.17
2024,349,24.25,14.84,6.83,0.0,13.03
2024,350,25.28,15.96,10.69,0.0,12.46
2024,351,23.59,15.26,7.76,0.0,12.14
2024,352,23.38,14.78,7.82,0.0,11.75
2024,353,23.87,15.3,8.51,0.0,10.87
2024,354,22.05,13.71,6.55,0.0,10.88
2024,355,20.92,12.13,5.68,0.0,8.67
2024,356,21.16,12.81,5.63,0.0,10.05
2024,357,21.15,13.27,7.83,0.0,9.44
2024,358,20.82,12.8,6.84,0.02,6.48
2024,359,19.87,13.16,8.26,0.0,7.02
2024,360,21.7,13.75,6.84,0.0,9.87
2024,361,21.43,14.11,6.74,0.0,10.44
2024,362,21.32,13.3,7.18,0.0,9.7
2024,363,23.08,14.25,6.95,0.0,9.99
2024,364,22.07,14.28,7.02,0.0,6.51
2024,365,22.37,13.92,8.14,0.0,6.9
