-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 11/01/2019 through 04/30/2020 in LST
Location: latitude  30.2013   longitude 71.4541 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2019,305,33.16,26.34,20.61,1.5,11.43
2019,306,30.28,24.77,19.81,0.85,8.69
2019,307,31.84,24.8,18.7,0.18,14.2
2019,308,33.64,25.5,19.49,0.0,15.16
2019,309,33.66,24.89,17.93,0.0,14.71
2019,310,29.87,22.98,17.14,0.1,15.3
2019,311,27.55,20.51,15.26,0.0,9.37
2019,312,27.39,19.43,12.85,0.03,14.74
2019,313,28.1,20.17,13.11,0.0,15.68
2019,314,29.69,21.53,13.45,0.0,15.7
2019,315,28.05,22.31,17.45,0.0,9.93
2019,316,29.75,22.42,15.81,0.0,12.48
2019,317,22.97,20.0,17.03,3.53,6.35
2019,318,23.17,18.83,16.3,0.27,5.74
2019,319,25.24,19.02,14.74,3.93,8.72
2019,320,25.28,19.72,15.21,2.4,12.0
2019,321,27.41,20.27,14.09,0.0,13.66
2019,322,29.45,20.82,14.53,0.0,14.95
2019,323,28.71,20.21,14.85,0.0,14.15
2019,324,28.31,20.68,15.1,0.0,11.63
2019,325,25.08,18.39,14.52,0.0,7.07
2019,326,20.7,16.62,14.19,0.15,4.07
2019,327,25.11,18.39,13.11,0.05,13.26
2019,328,26.67,18.75,12.16,0.0,13.89
2019,329,27.01,18.61,11.48,0.0,13.05
2019,330,25.56,17.89,12.7,0.0,8.68
2019,331,25.44,17.69,12.22,0.0,9.47
2019,332,25.61,17.39,11.65,0.0,11.2
2019,333,24.72,16.71,10.76,0.0,12.68
2019,334,24.45,16.64,9.36,0.0,12.83
2019,335,25.65,17.36,9.73,0.0,13.72
2019,336,26.79,18.38,11.16,0.0,13.88
2019,337,27.97,18.27,10.98,0.0,13.83
2019,338,27.33,17.85,11.58,0.0,12.45
2019,339,26.8,18.29,11.74,0.0,12.37
2019,340,26.41,17.91,10.32,0.0,12.13
2019,341,26.43,17.93,9.68,0.0,12.69
2019,342,26.14,17.88,9.6,0.0,12.61
2019,343,26.47,19.02,13.04,0.0,9.61
2019,344,26.5,18.62,13.81,0.0,11.73
2019,345,21.8,15.97,11.31,0.35,6.23
2019,346,20.38,14.44,10.83,9.67,1.14
2019,347,19.97,12.98,8.01,0.25,7.4
2019,348,19.74,13.2,6.82,0.0,3.76
2019,349,20.26,13.29,7.76,0.0,3.8
2019,350,19.31,13.06,7.31,0.0,8.35
2019,351,20.04,13.41,9.04,0.0,12.59
2019,352,22.16,14.14,8.91,0.0,12.33
2019,353,21.77,14.52,9.9,0.0,8.07
2019,354,22.96,15.42,11.62,0.0,10.03
2019,355,22.16,14.6,8.34,0.0,10.76
2019,356,22.3,14.83,8.87,0.0,4.63
2019,357,21.65,13.99,9.55,0.0,8.06
2019,358,21.16,12.59,6.9,0.0,3.41
2019,359,20.77,12.29,5.19,0.0,8.85
2019,360,22.42,14.03,8.79,0.0,5.57
2019,361,21.5,12.29,5.34,0.0,3.51
2019,362,19.48,11.14,4.64,0.0,5.43
2019,363,17.79,10.65,4.13,0.0,6.66
2019,364,18.87,10.75,5.47,0.0,3.04
2019,365,16.6,9.28,3.51,0.0,6.12
2020,1,16.67,8.95,3.66,0.0,6.11
2020,2,14.76,9.31,4.35,0.0,8.37
