-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 11/01/2020 through 04/30/2021 in LST
Location: latitude  30.2019   longitude 71.4532 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2020,306,33.07,23.91,17.63,0.0,15.09
2020,307,32.73,22.93,14.53,0.0,16.15
2020,308,33.97,23.38,15.36,0.0,15.73
2020,309,32.58,22.3,13.84,0.0,15.54
2020,310,32.2,22.46,14.62,0.0,14.82
2020,311,31.68,22.36,14.65,0.0,13.68
2020,312,31.34,22.73,14.4,0.0,15.14
2020,313,33.28,23.88,17.47,0.0,14.01
2020,314,31.69,22.97,15.52,0.0,12.78
2020,315,31.56,21.79,14.47,0.0,10.72
2020,316,29.48,20.72,13.45,0.0,10.66
2020,317,28.5,20.85,14.42,0.0,11.05
2020,318,29.13,20.72,14.71,0.0,9.95
2020,319,29.55,21.85,16.76,0.0,7.05
2020,320,25.33,19.89,16.58,0.61,8.37
2020,321,23.85,17.36,12.71,0.11,11.59
2020,322,25.69,17.5,10.59,0.0,14.15
2020,323,25.84,17.73,11.37,0.0,15.17
2020,324,26.18,18.07,11.07,0.0,13.03
2020,325,24.4,16.18,10.34,0.0,12.2
2020,326,24.5,16.12,8.89,0.0,15.39
2020,327,26.42,17.79,11.42,0.0,8.57
2020,328,22.7,15.43,9.62,0.0,7.67
2020,329,21.84,15.83,11.67,0.32,7.46
2020,330,18.12,14.24,11.66,61.14,6.6
2020,331,20.89,14.06,9.53,0.0,12.82
2020,332,22.64,14.46,8.36,0.0,14.36
2020,333,23.82,15.77,10.04,0.0,14.12
2020,334,26.66,16.35,10.04,0.0,13.64
