-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 11/01/2021 through 04/30/2022 in LST
Location: latitude  30.2019   longitude 71.4532 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2021,305,32.66,23.77,16.84,0.0,15.47
2021,306,30.97,22.46,16.72,0.0,12.38
2021,307,30.87,23.24,16.93,0.0,14.91
2021,308,31.14,22.7,16.33,0.0,12.56
2021,309,32.26,23.1,16.28,0.0,12.18
2021,310,29.49,21.65,15.68,0.0,12.28
2021,311,32.62,24.01,16.47,0.0,15.06
2021,312,32.69,24.72,16.87,0.0,15.34
2021,313,33.51,24.74,16.48,0.0,14.6
2021,314,31.48,23.58,15.86,0.0,14.25
2021,315,31.75,22.37,15.13,0.0,13.01
2021,316,31.46,22.85,14.75,0.0,15.13
2021,317,32.17,22.86,17.21,0.0,15.52
2021,318,31.0,20.76,12.75,0.0,14.71
2021,319,29.13,19.59,12.93,0.0,14.56
2021,320,29.47,20.63,12.52,0.0,13.44
2021,321,29.41,20.28,14.43,0.0,12.28
2021,322,28.22,19.45,14.23,0.0,12.32
2021,323,27.9,19.57,11.6,0.0,13.31
2021,324,29.43,21.31,13.71,0.0,13.44
2021,325,29.01,21.09,13.47,0.0,13.59
2021,326,29.41,20.19,12.05,0.0,14.48
2021,327,31.4,20.67,13.46,0.0,14.42
2021,328,29.65,20.27,13.16,0.0,12.62
2021,329,27.76,18.82,13.18,0.0,11.54
2021,330,29.29,19.68,12.22,0.0,13.04
2021,331,27.26,19.13,13.95,0.0,10.85
2021,332,26.92,17.96,11.78,0.0,9.93
2021,333,26.67,18.2,11.42,0.0,10.48
2021,334,27.21,19.08,12.14,0.0,12.07
2021,335,27.37,19.48,14.08,0.0,11.84
2021,336,26.44,18.48,11.38,0.0,11.37
2021,337,26.09,17.77,11.91,0.0,11.85
2021,338,26.24,17.9,11.2,0.0,12.47
2021,339,25.84,17.48,11.64,0.0,11.5
2021,340,24.7,16.41,10.75,0.0,11.17
2021,341,25.8,17.55,10.05,0.0,12.68
2021,342,25.63,18.18,11.44,0.0,12.83
2021,343,26.19,18.34,12.2,0.0,13.19
2021,344,26.39,17.45,9.77,0.0,13.83
2021,345,26.6,17.24,10.91,0.0,13.38
2021,346,24.45,16.74,10.3,0.0,10.98
2021,347,23.54,16.53,11.0,0.0,10.96
2021,348,21.83,14.17,7.8,0.0,9.82
2021,349,21.6,13.63,6.34,0.0,9.28
2021,350,20.29,12.55,5.81,0.0,10.14
2021,351,21.33,12.79,7.71,0.0,12.8
2021,352,21.42,12.67,5.22,0.0,13.03
2021,353,22.72,13.26,5.86,0.0,12.3
2021,354,23.51,14.54,8.07,0.0,11.08
2021,355,22.93,14.38,8.83,0.0,10.74
2021,356,23.21,15.29,7.38,0.0,8.92
2021,357,24.25,15.73,9.71,0.0,9.78
2021,358,23.26,13.96,7.77,0.0,10.6
2021,359,22.23,14.69,7.13,0.0,7.4
2021,360,22.23,16.55,11.76,1.43,8.85
2021,361,22.62,14.93,9.04,0.16,5.17
2021,362,20.58,13.05,7.72,0.0,10.92
2021,363,21.41,13.66,7.46,0.0,12.74
2021,364,21.59,14.08,8.55,0.0,11.87
2021,365,21.71,13.89,6.36,0.0,12.08
2022,1,22.67,15.64,9.93,0.01,11.55
2022,2,23.0,14.91,8.89,0.01,12.35
2022,3,24.15,16.63,10.43,0.0,6.53
2022,4,21.1,15.49,10.39,0.28,8.93
2022,5,18.65,13.82,9.43,6.35,2.94
2022,6,18.99,12.48,7.79,3.39,7.16
2022,7,15.74,12.18,10.19,13.02,2.58
2022,8,17.8,12.2,8.3,0.58,8.81
2022,9,17.55,11.3,6.67,0.01,10.52
2022,10,19.65,12.12,7.4,0.0,12.27
2022,11,19.55,11.96,5.59,0.0,13.03
2022,12,20.42,12.74,6.74,0.0,13.42
2022,13,20.83,12.81,5.71,0.0,13.1
2022,14,20.84,13.03,5.7,0.0,12.93
2022,15,21.62,13.98,6.17,0.0,11.17
2022,16,21.04,14.43,8.83,0.0,6.04
2022,17,22.68,14.81,9.67,0.0,8.75
2022,18,22.46,14.95,8.67,0.0,8.7
2022,19,24.31,15.93,11.3,0.07,6.61
2022,20,21.7,14.21,8.79,0.23,8.44
2022,21,21.93,14.77,9.0,0.23,2.94
2022,22,14.43,11.3,8.76,3.59,3.31
2022,23,19.25,12.44,8.41,0.11,10.88
2022,24,19.92,12.0,5.44,0.0,14.67
2022,25,20.27,12.41,5.95,0.0,14.65
2022,26,20.76,12.44,5.44,0.0,15.43
2022,27,22.17,12.97,5.1,0.0,14.95
2022,28,23.34,13.81,7.42,0.0,14.45
2022,29,23.3,15.35,8.22,0.0,14.34
2022,30,23.94,15.91,9.16,0.0,14.04
2022,31,26.99,16.95,9.06,0.0,15.37
2022,32,23.26,15.07,6.93,0.0,15.41
2022,33,25.48,16.27,9.01,0.0,13.3
2022,34,22.02,14.81,9.0,0.01,17.13
2022,35,21.91,12.42,3.63,0.0,17.32
2022,36,22.81,13.46,6.05,0.0,9.12
2022,37,23.89,14.35,4.78,0.0,12.79
2022,38,23.07,14.59,7.93,0.0,14.2
2022,39,24.32,15.43,7.72,0.47,14.53
2022,40,23.58,15.77,7.49,0.03,16.09
2022,41,25.65,16.34,7.81,0.0,16.49
2022,42,26.03,16.06,7.2,0.0,17.3
2022,43,27.04,17.36,9.62,0.0,16.94
2022,44,28.02,18.45,10.77,0.0,16.59
2022,45,26.61,17.14,9.61,0.0,15.49
2022,46,27.46,18.16,9.46,0.0,16.05
2022,47,27.27,19.0,11.41,0.0,15.44
2022,48,27.65,18.57,10.46,0.0,15.18
2022,49,26.97,17.17,9.65,0.0,14.74
2022,50,28.22,18.46,10.0,0.0,17.67
2022,51,29.93,19.85,10.9,0.0,19.26
2022,52,30.0,19.62,10.61,0.0,16.85
2022,53,26.0,17.69,12.16,0.04,14.62
