-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 11/01/2017 through 04/30/2018 in LST
Location: latitude  30.2013   longitude 71.4541 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 118.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2017,305,32.31,23.29,16.44,0.0,9.55
2017,306,33.56,24.21,17.57,0.0,9.08
2017,307,32.42,24.01,16.37,0.0,6.66
2017,308,32.3,23.31,16.09,0.0,5.88
2017,309,32.2,23.58,16.63,0.0,6.59
2017,310,33.21,23.88,17.24,0.0,6.24
2017,311,31.94,23.07,16.87,0.0,6.09
2017,312,30.9,23.44,17.09,0.0,7.01
2017,313,30.38,22.32,14.87,0.0,8.46
2017,314,29.63,21.68,15.04,0.0,6.5
2017,315,28.99,21.86,15.54,0.0,7.73
2017,316,28.17,21.22,15.68,0.0,8.53
2017,317,28.66,21.36,16.2,0.0,8.4
2017,318,24.12,18.68,14.01,4.9,6.31
2017,319,24.56,17.15,11.93,0.08,8.21
2017,320,24.31,17.13,11.65,0.01,10.97
2017,321,25.22,17.72,11.8,0.0,12.5
2017,322,26.07,18.38,12.22,0.0,13.11
2017,323,26.42,18.19,10.88,0.0,13.43
2017,324,26.73,18.89,10.47,0.0,13.79
2017,325,26.92,18.34,10.41,0.0,14.3
2017,326,27.93,19.07,12.04,0.0,14.63
2017,327,28.66,19.25,13.74,0.0,14.3
2017,328,28.08,18.83,11.59,0.0,14.02
2017,329,28.63,19.17,12.67,0.0,12.85
2017,330,28.21,19.49,12.38,0.0,12.28
2017,331,27.73,18.35,10.65,0.0,12.32
2017,332,28.02,18.75,11.23,0.0,12.33
2017,333,27.8,17.87,10.83,0.0,12.71
2017,334,27.74,18.73,10.63,0.0,13.37
2017,335,27.77,19.29,13.53,0.0,13.43
2017,336,27.67,19.22,13.24,0.0,12.15
2017,337,26.21,18.64,12.15,0.0,11.94
2017,338,22.97,15.47,9.1,0.0,13.09
2017,339,23.57,14.13,8.06,0.0,13.37
2017,340,24.02,14.25,5.45,0.0,13.49
2017,341,25.8,15.64,6.11,0.0,13.98
2017,342,25.64,16.31,10.6,0.0,13.97
2017,343,23.22,15.72,9.44,0.0,10.95
2017,344,24.22,14.83,6.92,0.0,7.8
2017,345,18.41,12.34,8.11,10.81,3.36
2017,346,20.14,12.27,6.57,0.32,9.15
2017,347,19.59,12.59,6.55,0.0,5.46
2017,348,17.88,10.91,5.39,0.0,7.31
2017,349,19.27,11.87,4.86,0.0,12.27
2017,350,20.63,12.39,4.6,0.0,13.17
2017,351,23.3,14.53,6.75,0.0,12.9
2017,352,24.82,15.1,7.53,0.0,12.43
2017,353,26.45,17.35,11.0,0.0,8.39
2017,354,26.88,18.62,12.38,0.0,10.64
2017,355,27.61,19.27,12.1,0.0,12.66
2017,356,26.25,17.79,10.06,0.0,13.13
2017,357,25.43,16.64,11.2,0.0,11.87
2017,358,24.77,15.67,9.39,0.0,12.43
2017,359,25.03,15.67,8.69,0.0,12.19
2017,360,26.04,16.98,11.01,0.0,10.29
2017,361,24.11,17.18,12.88,0.0,8.65
2017,362,23.81,14.87,9.79,0.0,14.25
2017,363,25.03,14.51,5.86,0.0,13.98
2017,364,24.35,15.93,9.14,0.0,13.23
2017,365,24.08,15.06,6.73,0.0,12.31
2018,1,23.87,14.22,6.67,0.0,14.11
2018,2,23.19,14.61,8.8,0.0,12.26
2018,3,22.08,13.81,6.0,0.0,10.26
2018,4,21.19,11.77,5.81,0.0,7.8
2018,5,19.92,10.97,5.11,0.0,10.38
2018,6,20.82,12.62,5.15,0.0,12.44
2018,7,20.31,13.03,6.6,0.0,12.76
2018,8,21.85,13.86,7.62,0.0,12.17
2018,9,22.39,14.65,7.12,0.0,11.58
2018,10,23.86,15.45,9.05,0.0,12.92
2018,11,25.37,15.84,10.41,0.0,11.79
2018,12,25.03,16.86,10.37,0.0,12.83
2018,13,25.03,16.43,7.45,0.0,13.32
2018,14,24.51,15.45,8.77,0.0,13.01
2018,15,24.75,14.33,6.16,0.0,14.29
2018,16,24.78,14.75,8.02,0.0,13.76
2018,17,25.1,15.14,8.93,0.0,12.68
2018,18,22.94,13.33,6.46,0.0,12.7
2018,19,24.11,14.81,7.41,0.0,14.12
2018,20,25.85,15.39,8.78,0.0,15.22
2018,21,26.88,15.24,8.21,0.0,14.84
2018,22,23.89,14.66,7.46,0.0,13.1
2018,23,22.72,13.8,7.19,0.0,11.1
2018,24,22.58,13.03,5.26,0.0,7.18
2018,25,23.26,14.15,6.79,0.0,9.33
2018,26,24.05,14.45,6.61,0.0,8.84
2018,27,23.77,15.22,7.86,0.0,6.63
2018,28,24.82,15.76,8.45,0.0,7.14
2018,29,25.12,16.75,9.36,0.0,11.69
2018,30,24.91,15.9,9.45,0.0,13.04
2018,31,25.98,17.66,10.67,0.0,12.73
2018,32,24.2,16.2,10.21,0.0,15.55
2018,33,25.82,15.31,7.2,0.0,16.66
2018,34,25.13,14.68,6.51,0.0,16.48
2018,35,25.49,15.22,7.22,0.0,15.19
2018,36,25.63,15.13,8.11,0.0,16.33
2018,37,25.49,14.35,5.76,0.0,16.91
2018,38,25.85,15.76,10.14,0.0,16.27
2018,39,25.72,16.03,7.06,0.0,16.73
2018,40,24.44,16.71,9.59,0.0,15.6
2018,41,23.94,15.23,8.45,0.0,10.33
2018,42,17.04,12.56,9.59,2.19,3.68
2018,43,23.45,14.66,7.06,0.12,12.94
2018,44,22.89,14.47,7.63,0.0,13.35
2018,45,24.62,16.16,8.1,0.0,12.85
2018,46,25.94,17.72,9.86,0.0,13.97
2018,47,30.16,19.93,11.45,0.0,14.85
2018,48,29.98,20.69,11.96,0.0,16.71
2018,49,30.43,21.34,13.82,0.0,17.4
2018,50,30.36,21.22,13.85,0.0,16.54
2018,51,30.18,22.08,14.13,0.0,13.09
2018,52,30.87,22.69,13.69,0.0,15.04
2018,53,30.79,22.16,14.13,0.0,15.79
